,CPU rate,CPU rate,canonical memory usage,canonical memory usage,local disk space usage,local disk space usage,active tasks,active tasks,job runtime
,mean,std,mean,std,mean,std,mean,std,
job ID,,,,,,,,,
1358321947,0.002357464394928791,0.000687204448434165,0.0018642163649050345,0.00018465328988748528,3.4852950527057215e-05,6.703332535301465e-06,9.740348837209302,1.4986600579315044,2505600000000
2715734498,0.024608327943466287,0.00807430909739936,0.006641407114624505,0.0035262383452709226,3.1388234878428554e-05,1.421444300573865e-05,1.0,0.0,2505600000000
3600242317,0.0005330776393796036,2.93627840918411e-05,0.0028850867117791485,7.174074160856846e-05,2.2486775256003353e-05,2.668577461531869e-06,1.9996407615854388,0.018951315770465514,2505600000000
3996514874,0.03720748701382855,0.006681027245543066,0.01721207823309882,0.0013575823175278714,0.00011335897872067817,1.6205057196345474e-05,99.9691091954023,0.4990747243240047,2505600000000
4093289082,0.001578659900990099,0.0002316893019549824,0.0007565579207920791,1.9858333747213878e-05,2.8224207920792077e-05,1.6068682715049922e-06,1.0,0.0,242400000000
4537387235,0.0005426752335329342,0.0002800965181846017,0.002286957604790419,0.0003044171725559383,8.3727697005988e-06,1.0102615709536086e-06,1.0,0.0,2505600000000
4888093099,0.0002470061031829839,0.00012191033189666959,7.049657625584552e-05,3.9509008168931356e-05,2.2769353537486776e-06,5.336304953602926e-07,3.9685105363984676,0.22122937094213477,2505600000000
4956349957,0.0001928629575638737,0.0005857315654649533,0.00035596006371272206,0.00017717152464723435,0.0,0.0,3.7420873945898587,0.8367003343703777,2505600000000
4974863248,0.17974527059386972,0.019995244534592324,0.11551093151340996,0.0006085165687314039,0.00011286769636015322,1.655004583740876e-06,1.0,0.0,2505600000000
5423595874,0.026501844047713052,0.004872436494614737,0.026984426089396173,0.0028994991914706864,1.6205872024215456e-05,1.0626166263152898e-05,9.890308839190629,0.9706531866475684,2505600000000
6021814158,0.00019132266199857584,0.0008769471805073199,0.003329451218609067,0.0019940553231357332,8.193777593164018e-08,6.186406419156302e-07,1.0,0.0,2505600000000
6111532801,0.00010183808115872634,1.8917937051621578e-05,0.00044202476657888436,3.6929740426616895e-05,1.8076139095044289e-06,1.0926158501140615e-06,1.0,0.0,2505600000000
6121361218,0.0016861049101796405,0.00026993385581137736,0.035601219161676655,2.86878971060193e-05,6.144744431137724e-05,2.407400299943924e-05,1.0,0.0,2505600000000
6125407098,0.008930781294117647,0.005705450666426051,0.0006782713071895425,0.0004325695525188427,4.7621830065359464e-07,1.1387645082689044e-06,1.0,0.0,165797000000
6125409753,0.0003307987567567568,2.5559392123206935e-05,0.0007672578378378378,4.649713149425355e-05,3.7641531531531525e-05,4.930568434769966e-07,1.0,0.0,165830000000
6177379673,0.00010508175123326286,0.00013579248661970664,0.0002887857593375617,9.171388066596921e-05,1.8814916607939862e-08,1.8849026346001853e-07,1.961977186311787,0.1912623701825723,2505600000000
6207105720,0.016418673240963855,0.018918152074536707,0.04395388168674697,0.014945639117065049,0.00010174146126506029,3.886521892367167e-05,5.068702290076335,3.4499276234367486,114231000000
6232076181,0.0022864972627737227,0.00034914754112259417,0.036397846715328475,2.7440566708397418e-05,5.601072992700728e-05,4.2643195890957807e-07,1.0,0.0,328800000000
6232530062,0.0005929997251803504,0.004196871216038642,0.016786056849879768,0.008968502287537436,6.610677086911716e-07,1.643820676034011e-06,1.0003436426116838,0.018537599944001604,864600000000
6251540546,0.035061591643678176,0.050213028914522735,0.007337994626436797,0.005434643046755788,4.795234712643664e-05,4.1850985657427456e-05,6.397058823529412,28.620891245239097,1425000000
6251959553,0.00085965,0.0015026845166789557,0.00107575,0.0021515,7.629e-06,0.0,1.0,0.0,281000000
6252069139,0.002744584866666667,0.0007000055178619877,0.0012147533333333336,0.0001788791702215475,0.0,0.0,1.0,0.0,43402000000
6252226570,0.007923666666666667,0.012197766612512855,0.001231,0.002132154544117288,2.8610000000000002e-06,4.0194366942304644e-14,1.0,0.0,76000000
6252350959,0.013956350000000001,0.009738318409624023,0.0011086,0.0007779446138525687,4.7685e-07,5.026440340837641e-07,1.0,0.0,1115000000
6252483350,2.6383333333333332e-05,4.569727380635888e-05,0.0,0.0,0.0,0.0,1.0,0.0,18000000
6252483662,3.783333333333333e-05,6.552925555302251e-05,0.0,0.0,0.0,0.0,1.0,0.0,16000000
6252538694,0.0005638544444444444,0.0011711040431694262,0.0003284888888888889,0.00041057648326604286,0.0,0.0,1.0,0.0,300000000
6252554626,0.004750331847389562,0.006090316447658061,0.0009274350602409639,0.0013595836201066099,3.4471084337349347e-07,4.590987238369557e-07,5.659090909090909,8.62646868336237,223000000
6252565953,0.008048633333333334,0.013831752513811591,0.0005149999999999999,0.0008920061658979718,0.0,0.0,1.0,0.0,33000000
6252613981,0.0009476199999999999,0.0017750544278979166,0.00011099999999999999,0.00024820354550247664,0.0,0.0,1.0,0.0,101000000
6252755521,0.0006553860245901642,0.0010554854480387588,0.0003204661475409838,0.00044872668176920266,0.0,0.0,4.357142857142857,4.613925843391037,87000000
6252767835,0.0010646666666666667,0.0013749677571977218,0.00024794666666666667,0.0003762669298959627,0.0,0.0,1.0,0.0,20000000
6252812659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91000000
6252814767,0.01026675,0.014018742629660717,0.0006224749999999999,0.0009773270874345666,0.0,0.0,1.0,0.0,197000000
6252859058,2.3843333333333333e-05,4.1297864755133936e-05,0.0,0.0,0.0,0.0,1.0,0.0,16000000
6252880061,2.3523333333333332e-05,4.0743608496711886e-05,4.45e-06,7.707626093681503e-06,0.0,0.0,1.0,0.0,17000000
6252889459,0.0014045696449704141,0.002691493320107484,0.0009425168047337275,0.0015572424926962331,2.7822130177514808e-06,1.636877552237799e-06,2.414285714285714,2.768837233809383,274000000
6252897922,5.053333333333333e-05,8.752630080914726e-05,0.0,0.0,0.0,0.0,1.0,0.0,16000000
6252922921,0.00027911666666666663,0.00043246631506588663,0.00021250000000000002,0.00032950827607208897,0.0,0.0,1.0,0.0,178000000
6253172180,0.012468104761904762,0.014406240982508308,0.011194753047619048,0.011572796249066805,5.131814285714277e-07,4.766000472725015e-07,3.888888888888889,7.270168217582704,1059000000
6253283461,0.0011268,0.0015180126876940129,0.00019709999999999997,0.00034138721417182564,0.0,0.0,1.0,0.0,150000000
6253287357,0.006483843333333334,0.011168456550196779,0.0003603333333333334,0.0006241156409939855,0.0,0.0,1.0,0.0,21000000
6253319346,0.0007911625,0.0015231447421781687,0.00013874999999999998,0.00027749999999999997,0.0,0.0,1.0,0.0,107000000
6253351215,0.020369833333333334,0.025192776269531446,0.018121166666666664,0.025838693933066093,7.946166666666667e-07,9.37480432684686e-07,1.0,0.0,652000000
6253410741,0.00284495,0.005899082157844558,0.00011625,0.0002558652651081989,0.0,0.0,1.25,0.4629100498862757,82000000
