Method,Perc nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,Comments
IS,2,5,10,"[0.6188329904242519, 0.6092793689970161, 0.6041526125217377, 0.6196829356151389, 0.6087731496154568, 0.6075595191522287, 0.603942287778683, 0.6200459534631948, 0.6117687576097991, 0.6082327456706873]","[56.91042494773865, 56.918254375457764, 56.95392847061157, 56.928781509399414, 56.95803928375244, 57.030832290649414, 56.98127341270447, 56.96912932395935, 56.972718238830566, 56.95769643783569]","[0.22090322280159158, 0.22207079213649253, 0.21985604268428344, 0.22376953471487462, 0.2186554495282566, 0.21913344447778077, 0.2187861558578476, 0.21594499842806933, 0.22115273370268768, 0.22342159025449354]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",Nodes: 189700
IS,5,5,10,"[0.6187358898550646, 0.6091865708381567, 0.6040569803199939, 0.619587965658158, 0.6086731368211739, 0.6074664366503977, 0.6038484408934973, 0.6199447345825262, 0.6116710260474914, 0.6081351151111831]","[129.26529145240784, 129.30780124664307, 129.28274703025818, 129.4479489326477, 129.3961148262024, 129.62192296981812, 129.46024131774902, 129.39711952209473, 129.20475888252258, 129.49063062667847]","[0.22321179287524198, 0.22235655536278792, 0.2193014984337044, 0.22422909326729637, 0.2184466558368204, 0.21843365865103723, 0.21829666116698332, 0.21486592318167727, 0.2214992294718263, 0.22284228491477504]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,10,5,10,"[0.618703887257685, 0.6091557500550157, 0.6040254931376747, 0.6195565450864085, 0.6086421566305368, 0.6074353542731763, 0.6038173768348464, 0.6199127413850254, 0.6116391372196512, 0.6081034744596948]","[255.8065357208252, 255.58272242546082, 256.5996136665344, 256.16490840911865, 254.53476428985596, 254.78824090957642, 254.581458568573, 254.50666332244873, 253.88480520248413, 254.4408848285675]","[0.22287822878228505, 0.22226821346554465, 0.21955689261326192, 0.22352513350415962, 0.21824526373543712, 0.21838328573681806, 0.2204231390644134, 0.2149732123126912, 0.22157117067693458, 0.22411546131037127]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,25,5,10,"[0.6186757190382944, 0.6091284795370457, 0.6039980663634282, 0.6195290298737703, 0.6086133818031225, 0.6074087319505583, 0.6037901124174482, 0.6198833810484128, 0.611611038557727, 0.6080751483394965]","[602.571935415268, 602.5320341587067, 603.0621724128723, 604.0135152339935, 604.0744297504425, 604.4327619075775, 603.2847151756287, 603.7931063175201, 604.4555599689484, 603.5179250240326]","[0.2226582407648506, 0.22185213557204717, 0.21965698150999802, 0.22420718143461024, 0.21869707056253923, 0.21877278324932856, 0.2190467861079319, 0.21562648679340607, 0.22073744363028017, 0.2236908861707493]",,
RS,2,5,10,"[0.24960068450168688, 0.24734804630931498, 0.24528467159135664, 0.24987596204533488, 0.2492316378317282, 0.24506162361623623, 0.24658692672641044, 0.249086981339336, 0.24862032319517222, 0.24905871679193514]","[52.39273285865784, 52.56988167762756, 52.425137758255005, 52.5544798374176, 52.38705658912659, 52.54311490058899, 52.319419622421265, 52.49318075180054, 52.46009182929993, 52.4761700630188]",,,
RS,5,5,10,"[0.24960469162889057, 0.24715557766271246, 0.245465608489047, 0.2499104902477595, 0.2491410269959327, 0.24508134949920923, 0.2466976700052712, 0.24892286839023042, 0.2488331336751886, 0.24899925178294888]","[129.8235845565796, 129.75443696975708, 129.5977816581726, 129.37467789649963, 129.474928855896, 129.74374794960022, 129.25960612297058, 128.4808793067932, 128.5439465045929, 128.55961871147156]",,,
RS,10,5,10,"[0.24960469162889057, 0.24715557766271246, 0.245465608489047, 0.2499104902477595, 0.2491410269959327, 0.24508134949920923, 0.2466976700052712, 0.24892286839023042, 0.2488331336751886, 0.24899925178294888]","[212.07005739212036, 212.4033498764038, 211.39251685142517, 211.3735146522522, 211.3878881931305, 210.87805795669556, 211.18417406082153, 211.05059671401978, 210.93564128875732, 210.8217990398407]",,,
RS,25,5,10,"[0.24957235622137633, 0.24718177583856246, 0.24541473732350003, 0.24981634580917234, 0.24916117633136545, 0.24492660411175587, 0.2466070680021092, 0.2489753364484181, 0.24879405847737002, 0.24904704739038494]","[540.8754389286041, 541.7335269451141, 542.9049601554871, 543.7555391788483, 542.9799311161041, 542.4042911529541, 541.7206394672394, 540.9600729942322, 540.3028707504272, 543.0798132419586]",,,
RR,2,5,10,"[0.24960368852721626, 0.2471956883085639, 0.24537974944336224, 0.2498477128508125, 0.2489725925659298, 0.24493686185037833, 0.2465781038641534, 0.24908224850558314, 0.2487741813231396, 0.24914130735085238]","[40.66779565811157, 39.79980230331421, 39.77357006072998, 39.758286476135254, 39.8200581073761, 39.9663462638855, 39.888461112976074, 39.91658091545105, 39.84392714500427, 39.940041065216064]",,,
RR,5,5,10,"[0.24961324545613156, 0.24716927880330017, 0.24540106886926358, 0.24980403434031473, 0.24917218058802612, 0.24507125370895746, 0.24661783720336353, 0.24892783790917747, 0.24881910897927823, 0.24904355911125686]","[98.07437086105347, 96.70482468605042, 96.47291707992554, 96.53521633148193, 97.47387313842773, 97.2013463973999, 97.95499682426453, 97.68859338760376, 97.66477394104004, 97.3896336555481]",,,
