Method,Perc nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,Comments
IS,2,5,10,"[0.6188329904242519, 0.6092793689970161, 0.6041526125217377, 0.6196829356151389, 0.6087731496154568, 0.6075595191522287, 0.603942287778683, 0.6200459534631948, 0.6117687576097991, 0.6082327456706873]","[64.43127608299255, 64.27569317817688, 64.4090325832367, 64.16270112991333, 64.35064601898193, 64.5009663105011, 64.28865098953247, 64.21719765663147, 64.26772022247314, 64.1131341457367]","[0.21839408239177227, 0.22035082101973397, 0.22079629663291697, 0.2201054127704709, 0.21533613761793563, 0.2186573320648775, 0.21564658654471397, 0.21416008956761304, 0.21927027216914177, 0.22566100472117023]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",Nodes: 189700
IS,5,5,10,"[0.6187358898550646, 0.6091865708381567, 0.6040569803199939, 0.619587965658158, 0.6086731368211739, 0.6074664366503977, 0.6038484408934973, 0.6199447345825262, 0.6116710260474914, 0.6081351151111831]","[124.41625547409058, 124.42858719825745, 124.07847023010254, 124.47252941131592, 124.40615916252136, 124.29472088813782, 124.47732973098755, 124.43043971061707, 124.4508752822876, 124.44590163230896]","[0.21929971864262338, 0.22069522999377567, 0.22216021667605892, 0.22176418064283687, 0.21715499230794222, 0.2180152099688923, 0.2183810390979578, 0.2143082445707885, 0.21918045083996893, 0.22296504308760487]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,10,5,10,"[0.618703887257685, 0.6091557500550157, 0.6040254931376747, 0.6195565450864085, 0.6086421566305368, 0.6074353542731763, 0.6038173768348464, 0.6199127413850254, 0.6116391372196512, 0.6081034744596948]","[228.84678030014038, 228.29025840759277, 228.12290382385254, 228.465322971344, 229.25853633880615, 229.2918655872345, 229.06664371490479, 228.4881308078766, 228.50069618225098, 228.30035042762756]","[0.21860320565339636, 0.2207087923413801, 0.22082633282349842, 0.22153941580525716, 0.21739257474207538, 0.21688429385791172, 0.21723406403823164, 0.2138473467237866, 0.21979464361967482, 0.2226885155054037]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,25,5,10,"[0.6193505788258575, 0.6100199047241269, 0.6048624548997884, 0.6208550462599797, 0.6095748477289115, 0.608258443709277, 0.6047274953044265, 0.6204399688055248, 0.6127514588208848, 0.6089340008677206]","[546.5285394191742, 546.6904039382935, 543.0554232597351, 544.0716254711151, 544.4095561504364, 543.1370024681091, 542.3747189044952, 543.2709562778473, 543.9962062835693, 543.1505470275879]","[0.2191412439425623, 0.21982500009331826, 0.21973147472502305, 0.22065813874994045, 0.21720210428925993, 0.21662866457427424, 0.21675482135155308, 0.21406875758666943, 0.21926230394443985, 0.22244046850558027]",,
RS,2,5,10,"[0.24676906915385033, 0.24631600015311753, 0.2466689364201332, 0.24715434897206665, 0.24694653823575421, 0.24558518713759173, 0.24337100685291543, 0.24705879499568548, 0.24709430424779427, 0.25036709465019097]","[56.13695573806763, 56.28553485870361, 56.25328969955444, 55.91109895706177, 55.986412048339844, 56.184114933013916, 55.94096279144287, 56.0006890296936, 56.366194009780884, 55.92551302909851]",,,
RS,5,5,10,"[0.24809149494631938, 0.24541097992925068, 0.24738867608193243, 0.248290711649984, 0.24878957381581032, 0.24445315761729566, 0.24645716394306655, 0.24769143602046853, 0.24720201206470602, 0.24946085972609064]","[116.20751953125, 116.52162551879883, 115.30640268325806, 116.71068668365479, 116.2666585445404, 114.75744009017944, 116.5221176147461, 116.14519882202148, 116.33115077018738, 116.37263059616089]",,,
RS,10,5,10,"[0.2478800662610129, 0.24612799207179312, 0.24616708043257793, 0.24812911966262577, 0.248412607003784, 0.24314913020557488, 0.24508910911966508, 0.2470967677984807, 0.24769096884933414, 0.24901878516298362]","[220.0121991634369, 220.65661931037903, 218.3551697731018, 218.4191915988922, 220.4447386264801, 220.4995300769806, 220.28581738471985, 220.11699104309082, 219.9103832244873, 219.9527084827423]",,,
RS,25,5,10,"[0.24843698945377699, 0.24549853776765285, 0.24514488135791895, 0.24771753294675122, 0.24818057112143788, 0.24300799578282523, 0.2448743953611002, 0.24759235874587746, 0.2471084332520609, 0.24868260852045757]","[546.1456863880157, 549.7987141609192, 544.7269322872162, 549.363995552063, 550.5898416042328, 546.4425246715546, 544.8705906867981, 547.2344045639038, 549.1115777492523, 548.4857106208801]",,,
RR,2,5,10,"[0.24802539820143174, 0.24565160826511967, 0.24404888040853043, 0.2487105250437, 0.24743394608546923, 0.24346412415970425, 0.24511531257661345, 0.2476596605381908, 0.24736307304214697, 0.2478425961719851]","[40.59346318244934, 40.39599585533142, 40.507506132125854, 40.37295961380005, 40.548826932907104, 40.646801233291626, 40.56503772735596, 40.376341104507446, 40.571004152297974, 40.388185024261475]",,,
RR,5,5,10,"[0.24804381178006898, 0.24562993610597422, 0.2440821111650957, 0.24865791983547242, 0.24761696570594202, 0.24359161495713497, 0.24515740157873075, 0.2475191370032109, 0.24740485582962327, 0.24772581946311495]","[99.38874769210815, 99.58797907829285, 99.5610179901123, 99.55476951599121, 99.68336963653564, 99.79851078987122, 99.84823226928711, 99.80251336097717, 99.72418355941772, 99.81281113624573]",,,
