Method,nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,total nodes,Increase percentage
RR,100,5,10,"[0.24915525679393388, 0.2462641439178928, 0.2452575485639792, 0.2505950891089113, 0.24992476198400215, 0.24509588118811898, 0.2470503564356437, 0.24994190917391373, 0.24827267540679698, 0.24926651848858317]","[4.793146848678589, 4.79220986366272, 4.806543827056885, 4.7765960693359375, 4.788161516189575, 4.793379068374634, 4.804922580718994, 4.797051191329956, 4.794773101806641, 4.80164647102356]",,,1897,1
RR,100,5,10,"[0.24791336485118903, 0.2449602989904931, 0.24382715462422702, 0.24662219801980237, 0.2466871302976649, 0.24229112871287292, 0.2448538811881195, 0.24542565938930386, 0.24539948652728472, 0.24626884417133263]","[4.812733173370361, 4.80391788482666, 4.804701566696167, 4.796651840209961, 4.822836637496948, 4.792585134506226, 4.811938047409058, 4.81855845451355, 4.797380208969116, 4.806869029998779]",,,9486,5.00052714812862
RR,100,5,10,"[0.2491136841229629, 0.245443643184082, 0.24289745601210694, 0.24997871287128645, 0.24807576495944939, 0.24383847524752464, 0.24610778217821713, 0.24794350949397717, 0.2485339284228535, 0.24833329371352558]","[4.764359474182129, 4.781811714172363, 4.781366586685181, 4.797195672988892, 4.7891011238098145, 4.747627019882202, 4.763509511947632, 4.765756368637085, 4.753382444381714, 4.749688148498535]",,,37940,20
RR,100,5,10,"[0.2500836801023573, 0.248297184189313, 0.24553781908803174, 0.2503881188118811, 0.2502030515176367, 0.24519405940594016, 0.2482455445544554, 0.2505590226956281, 0.24801009512716002, 0.25000099049520735]","[4.7294299602508545, 4.710033655166626, 4.71919059753418, 4.699052810668945, 4.720707178115845, 4.715914964675903, 4.706972122192383, 4.711573839187622, 4.699706792831421, 4.714202880859375]",,,113820,60
RR,100,5,10,"[0.24895078025506048, 0.2460214815240279, 0.24513369704317417, 0.2511801980198023, 0.24934924464835467, 0.2455128712871292, 0.24700396039603947, 0.2492221216520536, 0.2486261831465258, 0.24877871940855517]","[4.7201128005981445, 4.708647012710571, 4.701236009597778, 4.703639984130859, 4.717710733413696, 4.715981483459473, 4.713815689086914, 4.719127655029297, 4.714996814727783, 4.721056222915649]",,,189700,100
LR,100,5,10,"[0.24990398079615805, 0.24501700340068158, 0.24838935574229457, 0.24457200000000592, 0.2394957983193318, 0.2450779999999978, 0.25421799999999667, 0.244772954590923, 0.2411904761904637, 0.2449419767907153]","[17.295976400375366, 17.335246086120605, 17.42377996444702, 17.360182762145996, 17.539528608322144, 17.407694816589355, 17.261085033416748, 17.295186519622803, 17.257614374160767, 17.342928647994995]",,,1897,1
LR,100,5,10,"[0.25319663932785896, 0.2457831566313251, 0.2530832332933184, 0.2484060000000105, 0.2404881952781145, 0.24612999999999552, 0.25279000000000634, 0.24747149429886275, 0.2380472188875583, 0.24005602240896945]","[17.987892389297485, 18.283429622650146, 17.985053539276123, 17.969256162643433, 18.070534706115723, 18.018380165100098, 18.018856525421143, 17.99524736404419, 18.007660388946533, 18.05397391319275]",,,9486,5.00052714812862
LR,100,5,10,"[0.25975795159031617, 0.2430746149229748, 0.2544237695078167, 0.2508280000000088, 0.23986194477790138, 0.25943000000000327, 0.26078600000000446, 0.24775955191038485, 0.24005802320927433, 0.2513765506202536]","[25.414123058319092, 25.342234134674072, 25.306471824645996, 25.35243558883667, 25.4308979511261, 25.63802719116211, 25.278324365615845, 25.652228832244873, 25.28372573852539, 25.15487766265869]",,,37940,20
LR,100,5,10,"[0.2626705341068193, 0.24282456491296933, 0.25449379751901924, 0.2524540000000068, 0.2407623049219592, 0.2619000000000018, 0.2636920000000045, 0.24799759951990666, 0.240106042416964, 0.25155262104842463]","[35.081568241119385, 35.391159534454346, 35.165756702423096, 35.35244846343994, 35.381343841552734, 35.1938533782959, 35.211118936538696, 35.222864627838135, 35.221484661102295, 35.275057554244995]",,,113820,60
LR,100,5,10,"[0.2626705341068193, 0.2437507501500169, 0.2539715886354499, 0.2532340000000064, 0.2413005202080644, 0.2642520000000009, 0.26465199999999545, 0.24799759951990666, 0.240106042416964, 0.2516946778711536]","[44.73635244369507, 44.978386878967285, 45.22264361381531, 45.34431505203247, 45.42220687866211, 45.445624351501465, 45.51179647445679, 45.515408515930176, 45.477630615234375, 45.45061254501343]",,,189700,100
