Method,Perc nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,Comments
IS,10,5,10,"[0.6223347763473104, 0.6126650108577265, 0.6075861094044885, 0.623121660844744, 0.6121605904754591, 0.6109439215182523, 0.6073289980962236, 0.6235633085891916, 0.6152847739404848, 0.6116978538036729]","[15.193505048751831, 15.112819194793701, 15.231037378311157, 15.135642290115356, 15.230333089828491, 15.283943891525269, 15.203500270843506, 15.22189974784851, 15.18992829322815, 15.201854944229126]","[0.2178831729032552, 0.2162068778905926, 0.21509370031537176, 0.2308417816011763, 0.21557067271352864, 0.2185854876550629, 0.20887875352161192, 0.2122348529239404, 0.21543639181308605, 0.22603656777782238]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,25,5,10,"[0.6205182304625352, 0.6111581785573912, 0.6060199665342354, 0.6219944849987818, 0.610740967676077, 0.6093992845112769, 0.6058690958453398, 0.6216277458437646, 0.6139125791437497, 0.6100954556741822]","[17.864155054092407, 17.778788328170776, 17.884212017059326, 17.80496072769165, 17.89576005935669, 17.956695079803467, 17.873292922973633, 17.91589903831482, 17.82846760749817, 17.874361276626587]","[0.21870096419433205, 0.21168255169689593, 0.21798895609458996, 0.22786496541163356, 0.21370533023335805, 0.22315299160715976, 0.21131637349991766, 0.2207782542929643, 0.2143395934146236, 0.21953459469295367]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",Not enough nodes in all categories
IS,2,10,10,"[0.629220923816912, 0.6247879071385193, 0.6254445724729358, 0.6372548783729878, 0.6312353947580074, 0.6252219059441114, 0.6251233940395117, 0.6307765699562434, 0.6314623224529374, 0.6271294070171545]","[27.60702395439148, 27.481837511062622, 27.472636938095093, 27.514952182769775, 27.484830617904663, 27.60189437866211, 27.513880491256714, 27.576375007629395, 27.521981716156006, 27.52472233772278]","[0.2502748418978773, 0.24052313182747317, 0.22948900317321683, 0.2098165350930648, 0.1991247977587902, 0.1966260815270719, 0.21772867758269773, 0.1813655761024192, 0.22171156546155826, 0.25036374057580296]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,5,10,10,"[0.6182819582882936, 0.613879492700128, 0.6146911016086207, 0.6263539708758704, 0.6202988182817306, 0.6145456273352768, 0.614343467132466, 0.6197628531193589, 0.6205088471039052, 0.6163134661234547]","[28.62403440475464, 28.586437702178955, 28.606905698776245, 28.701292276382446, 28.60033869743347, 28.75907301902771, 28.644341945648193, 28.72162652015686, 28.643444538116455, 28.662647008895874]","[0.23392687294881861, 0.21452615890636736, 0.22018692393832742, 0.23149738073862, 0.21348401049725557, 0.21166438452356814, 0.21786077893392894, 0.20219327407614998, 0.22117211246200932, 0.22550414772136135]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,10,10,10,"[0.6156064937687111, 0.6111981071887014, 0.6120077122462143, 0.623641546957446, 0.6175554580916841, 0.6118588345510995, 0.6116917534598171, 0.6169954558759339, 0.617733378150698, 0.6136243048539703]","[30.54249596595764, 30.474265098571777, 30.47974133491516, 30.556906700134277, 30.479304313659668, 30.6332688331604, 30.533356189727783, 30.59929347038269, 30.538438320159912, 30.55716323852539]","[0.21958630859154957, 0.2143517453501347, 0.21723753829016648, 0.22812664598818483, 0.21614681317373413, 0.22079469851746725, 0.2114642739135857, 0.21220151072125157, 0.21536367072081986, 0.22563807107037026]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,25,10,10,"[0.6140414382445624, 0.6097243474875661, 0.6106031532935138, 0.6221584023298808, 0.6160303411503169, 0.6102556140459441, 0.6102210084685512, 0.6153222185104184, 0.616084049312897, 0.6122238699117715]","[35.92479729652405, 35.87233519554138, 35.9049186706543, 35.97066140174866, 35.94980454444885, 36.056143045425415, 35.92324876785278, 35.985565423965454, 35.964516401290894, 35.97643756866455]","[0.22050024555160722, 0.2099020227345337, 0.22014981465348318, 0.22511265874641437, 0.21396507502208217, 0.2252083594435357, 0.21380051399454605, 0.22057170219853442, 0.21410676612417665, 0.21921999435577125]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",Not enough nodes in all categories
RR,2,5,10,"[0.24894153795197074, 0.24625735958002382, 0.24409521988026942, 0.2498502133712651, 0.24941840178460997, 0.24427083926031218, 0.24593357041251657, 0.24766774122961047, 0.24706411725429808, 0.24840163661481604]","[3.9049365520477295, 3.8925018310546875, 3.8941898345947266, 3.887967348098755, 3.891122579574585, 3.889181613922119, 3.8809385299682617, 3.895122528076172, 3.9087462425231934, 3.8957855701446533]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,5,5,10,"[0.24868391371443394, 0.24586077349848495, 0.24296141748972902, 0.2500052855543114, 0.24744531631241584, 0.24313771556550956, 0.24585563269876892, 0.24786097197043053, 0.24800757929151496, 0.24750370472937241]","[4.519313812255859, 4.511261940002441, 4.51702356338501, 4.50370979309082, 4.510535717010498, 4.5020530223846436, 4.504481792449951, 4.5088818073272705, 4.5163209438323975, 4.51017427444458]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,10,5,10,"[0.24837199130163076, 0.24530455520232475, 0.24427995648273382, 0.2484545920356456, 0.24750426486384125, 0.24320750765803492, 0.24556287385129527, 0.24746117143228247, 0.24746628253083455, 0.2476625849448671]","[5.522414445877075, 5.508281946182251, 5.516301393508911, 5.5128796100616455, 5.521992921829224, 5.5200159549713135, 5.521128177642822, 5.516730070114136, 5.52092981338501, 5.522871971130371]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,25,5,10,"[0.24837611359713593, 0.24566115621525342, 0.24381691917273218, 0.24851897135243162, 0.24780883172722734, 0.2437723775260933, 0.24556061470130985, 0.2472176105218821, 0.2475682762556493, 0.2475433504514396]","[8.599425792694092, 8.59313702583313, 8.586130380630493, 8.575838088989258, 8.583225965499878, 8.584370851516724, 8.586770296096802, 8.588909387588501, 8.595699548721313, 8.58657717704773]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,2,10,10,"[0.24781723279430157, 0.24690449130261272, 0.24561422480798006, 0.24793699849500161, 0.24810573779051368, 0.24514869694650587, 0.24632022083370766, 0.24704808313048385, 0.24663869815351216, 0.24955993199097476]","[7.792242765426636, 7.7692108154296875, 7.786347150802612, 7.786440849304199, 7.7807159423828125, 7.775268077850342, 7.7872490882873535, 7.787246465682983, 7.786820888519287, 7.779268980026245]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,5,10,10,"[0.24803666183840986, 0.24737454708516007, 0.24504974112613773, 0.2488919284416719, 0.24787622698111123, 0.24419632332773436, 0.24620830415032072, 0.2465463491230946, 0.24668021743971122, 0.24802632279044667]","[9.016879558563232, 8.995920419692993, 9.01557207107544, 9.017606735229492, 9.016687870025635, 9.019959926605225, 9.019291400909424, 9.015545845031738, 9.028558731079102, 9.018696308135986]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,10,10,10,"[0.2476339086632707, 0.24703471461041995, 0.2455847224788442, 0.2475681323956246, 0.24756709626525797, 0.24401769890160868, 0.24615887847759588, 0.2466805733727925, 0.24689587614494346, 0.24808164532345064]","[11.041858434677124, 11.026290893554688, 11.02832317352295, 11.031520366668701, 11.04032564163208, 11.0272057056427, 11.042808294296265, 11.03441047668457, 11.036100625991821, 11.042237520217896]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,25,10,10,"[0.24735763034040179, 0.24699424994686947, 0.2454651185495547, 0.24754089747552052, 0.24807200702854296, 0.24450385034061975, 0.2462366901013136, 0.2465543522705935, 0.24665221451671868, 0.24762257413622069]","[17.17659640312195, 17.139729022979736, 17.159440994262695, 17.14110565185547, 17.162391185760498, 17.155771017074585, 17.160269737243652, 17.174012184143066, 17.149088621139526, 17.17493462562561]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,2,5,10,"[0.25008244892220965, 0.25014192027593807, 0.2353211554892227, 0.2416540540540488, 0.231698084639264, 0.2427567567567527, 0.24745405405405654, 0.24238361185750532, 0.22419778722299796, 0.2391388988027636]","[16.196319580078125, 16.186432123184204, 16.17924952507019, 16.166019201278687, 16.344953536987305, 16.15011215209961, 16.150290727615356, 16.156574487686157, 16.24979877471924, 16.172775983810425]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,5,5,10,"[0.24643439326163064, 0.24528309917302749, 0.24648795688488798, 0.241419148936172, 0.2388976867342758, 0.24197446808512083, 0.2515361702127504, 0.2439402774171907, 0.23979166134539878, 0.24264812307903463]","[16.911038875579834, 16.95958161354065, 17.07098889350891, 16.933524131774902, 17.002793550491333, 16.93280577659607, 16.85168433189392, 16.90384793281555, 16.870421409606934, 16.83862566947937]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,10,5,10,"[0.24835972485501545, 0.23771844315952825, 0.24747888573418556, 0.241616931216929, 0.24126899437023117, 0.23900952380951776, 0.24554391534391926, 0.24381172530803194, 0.23997958971949657, 0.24346669884884314]","[18.138272762298584, 18.127097368240356, 18.149948835372925, 18.117366552352905, 18.101887941360474, 18.086334228515625, 18.116884469985962, 18.060083150863647, 18.20021104812622, 18.12189507484436]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,25,5,10,"[0.24279370642060927, 0.24055655012858643, 0.24508073271502523, 0.24727088607595074, 0.24907135850120182, 0.2435046413502131, 0.24753206751054577, 0.2462741493446336, 0.24266415426929913, 0.24383761943596438]","[21.229021549224854, 21.253711938858032, 21.1856689453125, 21.195778608322144, 21.211560487747192, 21.318358898162842, 21.195882320404053, 21.263816118240356, 21.301628589630127, 21.277886629104614]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,2,10,10,"[0.2488746623987196, 0.2516278654892273, 0.2411534271092252, 0.2431540362126582, 0.23310067418890407, 0.2439541251422524, 0.24719617576760602, 0.24126697468698258, 0.22409774720700618, 0.2400098407900741]","[32.31892538070679, 32.2480411529541, 32.31435012817383, 32.191075801849365, 32.43896794319153, 32.16589856147766, 32.26829123497009, 32.314945936203, 32.19799733161926, 32.21180272102356]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,5,10,10,"[0.2456907284951112, 0.2466576444878492, 0.24873206642842488, 0.23970325980089216, 0.23911271616026117, 0.24320623551717688, 0.25072475798828653, 0.24350177393644012, 0.24035784526575982, 0.24476172639025967]","[33.65181827545166, 33.73106789588928, 33.83083653450012, 33.677907943725586, 33.805864334106445, 33.814130783081055, 33.74471378326416, 33.67605257034302, 33.654569149017334, 33.63347315788269]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,10,10,10,"[0.24791405675669081, 0.23882599900199988, 0.2479706875025494, 0.2407529124872404, 0.24115987218606416, 0.24005522245346156, 0.24665951036496728, 0.24285275000489512, 0.24001452432825593, 0.24324175559545416]","[36.01968264579773, 36.06634831428528, 36.114018201828, 36.36371374130249, 36.198180198669434, 36.21481132507324, 36.06726932525635, 35.90751910209656, 36.255061864852905, 36.32616209983826]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
LR,25,10,10,"[0.24198419863512824, 0.24156466279538852, 0.24675377296733064, 0.24613804617463908, 0.24959169048999394, 0.24383387705859746, 0.2484099124881979, 0.2457532618435232, 0.2415521060744941, 0.24412935695055307]","[42.61160397529602, 42.56669735908508, 42.60252118110657, 42.42448616027832, 42.904114961624146, 42.66010141372681, 42.981653928756714, 42.50343656539917, 42.55093574523926, 42.675122022628784]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
