Method,Perc nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,Comments
RS,2,5,10,"[0.2501851721695649, 0.26508544952233026, 0.2578382704433117, 0.24668108108108427, 0.2228080421357832, 0.2372486486486463, 0.24384324324323553, 0.21115033817576093, 0.23920378962394842, 0.2806419865243415]","[5.288856267929077, 5.303350448608398, 5.274937868118286, 5.308511734008789, 5.30908203125, 5.2967846393585205, 5.31375527381897, 5.28546142578125, 5.3043107986450195, 5.24429178237915]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,5,5,10,"[0.25172055687733813, 0.2459662145195118, 0.24831634781573167, 0.2554765957446805, 0.24468297957481386, 0.23994680851064, 0.24615744680852272, 0.23530450771005296, 0.24985526125343616, 0.2581351689611942]","[5.834454774856567, 5.813603162765503, 5.814393043518066, 5.80326771736145, 5.8246169090271, 5.810576438903809, 5.809343099594116, 5.797212839126587, 5.831567764282227,5.768365144729614]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,10,5,10,"[0.24585552031039365, 0.24521623901500014, 0.24139814656023142, 0.2568158730158672, 0.2453584608446483, 0.24440105820107505, 0.23831428571428265, 0.2392870108413171, 0.2445327337284174, 0.25440970038809957]","[6.7918620109558105, 6.794425010681152, 6.756232023239136, 6.763358116149902, 6.769644021987915, 6.773998022079468, 6.777109861373901, 6.776496648788452, 6.77351713180542, 6.773671865463257]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,25,5,10,"[0.24759719876465092, 0.23849706650190688, 0.24313227400663848, 0.2536864978903059, 0.24262616438980564, 0.24580379746835168, 0.24021940928270516, 0.2491755735113175, 0.24480762769241798, 0.24890969045845968]","[9.575405359268188, 9.557723760604858, 9.553840398788452, 9.605285406112671, 9.597570896148682, 9.591145038604736, 9.561096906661987, 9.582674026489258, 9.558558702468872, 9.629135847091675]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,2,10,10,"[0.25153491993543925, 0.26715103942827584, 0.25983741068267524, 0.24552748387516288, 0.22308245432871446, 0.2390401202282359, 0.2450574824524206, 0.21050369164804164, 0.2388117409125715, 0.2806517630964979]","[10.600139617919922, 10.537292242050171, 10.550171613693237, 10.52908205986023, 10.607698917388916, 10.563942432403564, 10.566890954971313, 10.539977312088013, 10.595073699951172, 10.42798638343811]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,5,10,10,"[0.25210754715775996, 0.24727153566419605, 0.25024422220282905, 0.25444344187985196, 0.24495643809613635, 0.241285830710718, 0.24725954211471393, 0.23455334472681263, 0.24911134666631277, 0.2583232416533504]","[11.673579692840576, 11.678629398345947, 11.668888092041016, 11.660351991653442, 11.650674104690552, 11.650439500808716, 11.68582034111023, 11.668896436691284, 11.693081855773926, 11.566555976867676]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,10,10,10,"[0.2455519724700116, 0.24685114014044696, 0.24309250447092368, 0.25572945276884185, 0.24569199554196128, 0.2453943807079301, 0.2393147735284351, 0.23866630888735582, 0.24376258439885787, 0.2545758436525905]","[13.564160585403442, 13.604408979415894, 13.540651082992554, 13.609352827072144, 13.553783893585205, 13.612052917480469, 13.565969944000244, 13.612329959869385, 13.592412948608398, 13.633336067199707]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,25,10,10,"[0.247184914968165, 0.23993433098584666, 0.24473607905156186, 0.2525962998506922, 0.24287684541126708, 0.24672382850099336, 0.24115025757138725, 0.2485365862923386, 0.2439889457892546, 0.24911228642853436]","[19.193828582763672, 19.07651925086975, 19.140209674835205, 19.192893981933594, 19.24407720565796, 19.176995277404785, 19.146090507507324, 19.122304677963257, 19.14517641067505, 19.21334457397461]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,2,5,10,"[0.6360085274968129, 0.6259876064810029, 0.62101861283233, 0.6364897792737286, 0.6256202902817308, 0.6242755522503274, 0.6206067177240743, 0.6374513744891827, 0.6289688585714589, 0.6252459040169838]","[13.642000675201416, 13.586917638778687, 13.695183753967285, 13.583740949630737, 13.694904804229736, 13.740980863571167, 13.689919471740723, 13.681968450546265, 13.61090612411499, 13.655405282974243]","[0.24810593726256247, 0.2415420928402832, 0.22700039941418998, 0.21325642188951194, 0.19843353557638974, 0.19362950544845042, 0.21610652860652924, 0.18085271489701088, 0.221004723798021, 0.2510720647417144]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,5,5,10,"[0.6250098174747465, 0.6153110824944408, 0.6102166694107247, 0.625800022054739, 0.6148398234684218, 0.613622472536138, 0.6099394378878713, 0.6263788973591691, 0.6180255382971733, 0.6144374856611589]","[14.314105033874512, 14.176480531692505, 14.278405904769897, 14.186893463134766, 14.28859567642212, 14.364015102386475, 14.26502537727356, 14.294576406478882, 14.214353322982788, 14.242974996566772]","[0.2319319832521556, 0.216616167534359, 0.21770953429060605, 0.23362586526523244, 0.21302648719062128, 0.20928822385903495, 0.21525283227410552, 0.20203166180859802, 0.22121376780832502, 0.22576735972854792]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
