,transform_function,min_cluster_size,metric,n_outliers,n_clusters,mean_cluster_size,avg_silhouette,davies_bouldin_score,scores_v1,scores_v3,CCPM
41,robust_scaler,1000,manhattan,85250,6,2458.5,0.5870151274493683,1.175230869067237,0.3217642943777833,0.33163723651404586,1.4379117693948653
42,yeo-johnson,50,euclidean,68375,239,132.32635983263597,0.5374224647827489,1.0109211169385237,0.32082197103101184,0.38397606571677856,1.5266193301409507
43,yeo-johnson,50,manhattan,71293,237,121.13080168776371,0.6222833277958237,1.051598039446908,0.3396883661249141,0.40342235986770447,1.5732170139464312
44,yeo-johnson,100,euclidean,76660,105,222.2952380952381,0.5646242299795587,1.0367281089220783,0.34855031450731566,0.3673154297153986,1.529197285724844
45,yeo-johnson,100,manhattan,68518,124,253.8951612903226,0.6109653932208553,1.032610139490669,0.37848988810239226,0.4227673250895674,1.5793850917657932
46,yeo-johnson,200,euclidean,81369,33,564.6060606060606,0.5401954899054026,1.0444210983196365,0.504797471534274,0.38802514315935577,1.4976637003895594
47,yeo-johnson,200,manhattan,83611,36,455.27777777777777,0.639277532188323,1.0668226016337434,0.508466038475645,0.4098824156057464,1.576640500003768
48,yeo-johnson,300,euclidean,81924,17,1063.3529411764705,0.4703496862766819,1.0841286799561494,0.4349880108136375,0.34390858605432656,1.3927494147299941
49,yeo-johnson,300,manhattan,89923,14,719.8571428571429,0.6354715744783943,1.1391355554228786,0.4249040350500035,0.35842427974255053,1.5133302237317507
50,yeo-johnson,400,euclidean,87873,6,2021.3333333333333,0.576381708665947,1.2176926916001531,0.30947657554910185,0.3142690001493658,1.3976069709165677
51,yeo-johnson,400,manhattan,87672,12,1027.4166666666667,0.6420066358184623,1.2587842800908458,0.4089446214897509,0.3646008840373955,1.436423928611339
52,yeo-johnson,600,euclidean,91352,6,1441.5,0.6336999727519813,1.2162796805848548,0.31698611287662026,0.31980147973204004,1.4558792921657073
53,yeo-johnson,600,manhattan,94984,5,1003.4,0.7065912717965627,1.3120418918660604,0.31635615413642393,0.32695202710190274,1.4687620578053413
54,yeo-johnson,1000,euclidean,95689,2,2156.0,0.7363087583851535,1.0838281517000576,0.2854504680375141,0.3237755954485251,1.6589642535680684
55,yeo-johnson,1000,manhattan,98036,1,1965.0,-1.0,1.0102918602995792,-0.3139628860121655,-0.3863289444028637,-0.010187016944318783
