,transform_function,min_cluster_size,metric,n_outliers,n_clusters,mean_cluster_size,avg_silhouette,davies_bouldin_score,scores_v1,scores_v3,CCPM
0,standard_scaler,50,euclidean,73461,220,120.63636363636364,0.6067492620772006,1.1771182182458213,0.3301094754285195,0.3872165596623319,1.4562816068320303
1,standard_scaler,50,manhattan,73178,211,127.12322274881517,0.667413930297665,1.1795198370159496,0.35295466561321787,0.413401505863994,1.5152165433761238
2,standard_scaler,100,euclidean,74078,95,272.87368421052633,0.6200444861911588,1.1767406936023435,0.3843187014811324,0.40499991939205654,1.4698493798578434
3,standard_scaler,100,manhattan,73758,107,245.26168224299064,0.6599371662642401,1.210046186834295,0.38845173206536343,0.4194876197893782,1.4863519022307945
4,standard_scaler,200,euclidean,76117,46,519.2173913043479,0.6282309928869085,1.197652925100717,0.47742866527171335,0.4272329420971401,1.463197433532394
5,standard_scaler,200,manhattan,79087,44,475.3181818181818,0.6801435087079027,1.2152308394119775,0.4933968360793024,0.43571726688452705,1.5030324344727206
6,standard_scaler,300,euclidean,79415,25,823.44,0.6067940108881739,1.2823152874381898,0.5913968046157404,0.4418004212194086,1.3866334230796955
7,standard_scaler,300,manhattan,81080,25,756.84,0.7093250078655866,1.1851387838128813,0.6200238591076562,0.4744879032595412,1.5531080429484108
8,standard_scaler,400,euclidean,78756,18,1180.2777777777778,0.6579394604276848,1.4015886600894738,0.5208983427522073,0.4386304911624656,1.371415552575978
9,standard_scaler,400,manhattan,82145,16,1116.0,0.676684509392559,1.2893860352923434,0.49020911306501,0.42149137250441304,1.4522474305260031
10,standard_scaler,600,euclidean,84089,11,1446.5454545454545,0.685663033289349,1.3777835008125443,0.422619455060728,0.3961321100313879,1.4114664700486457
11,standard_scaler,600,manhattan,86079,9,1546.888888888889,0.7074951368606741,1.2994893980667406,0.39762253027614736,0.38722274326661515,1.4770281561278624
12,standard_scaler,1000,euclidean,82124,6,2979.5,0.6056421431546382,1.194133836795139,0.33839319541391527,0.3547178864977168,1.4430692130414084
13,standard_scaler,1000,manhattan,89181,4,2705.0,0.6825530686756289,1.2272616738064888,0.3148660468442009,0.34250530186027695,1.4973752222090222
14,minmax_scaler,50,euclidean,66993,271,121.80073800738008,0.6396137979766021,1.212911912007027,0.3552104855397346,0.43047796474810407,1.464075978701072
15,minmax_scaler,50,manhattan,66708,266,125.16165413533835,0.6966313649828445,1.1742920184589607,0.3757674655394643,0.4548903174500097,1.5482083017930883
16,minmax_scaler,100,euclidean,69616,139,218.59712230215828,0.6780170550860017,1.1952904630444379,0.38963812544287224,0.4418353387708161,1.514633786263604
17,minmax_scaler,100,manhattan,67637,152,212.92105263157896,0.717267986456785,1.157029952230177,0.40398579388936534,0.4658308395567906,1.5815498471575373
18,minmax_scaler,200,euclidean,72124,67,416.07462686567163,0.7254737244267797,1.1171692166795295,0.46410021274906454,0.468379066083904,1.6205932686013123
19,minmax_scaler,200,manhattan,71571,73,389.45205479452056,0.7122663922725976,1.124215645724518,0.45090931095422365,0.4626715737794183,1.6017754502572288
20,minmax_scaler,300,euclidean,73399,43,618.6511627906976,0.7345589258710713,1.1331229654578407,0.5350758094961235,0.48729735654079914,1.617075678671989
21,minmax_scaler,300,manhattan,74078,42,617.2142857142857,0.7124024347146811,1.135250760963236,0.5302258204960744,0.47647943965359574,1.5932650902495
22,minmax_scaler,400,euclidean,76245,33,719.8787878787879,0.7056280968573151,1.172237169842248,0.5770215030532863,0.4798179297426827,1.558697787638894
23,minmax_scaler,400,manhattan,75147,35,710.1142857142858,0.6969558198220132,1.1235457803378368,0.56278349243467,0.4773367995269464,1.5869952089595984
24,minmax_scaler,600,euclidean,78861,18,1174.4444444444443,0.7085481074409811,1.1283693476458319,0.5374178952566043,0.4583489552177315,1.5947827451385979
25,minmax_scaler,600,manhattan,84724,16,954.8125,0.7594023671622356,0.977567784168753,0.5091851516207092,0.44168364456099424,1.7823493343132875
26,minmax_scaler,1000,euclidean,77570,10,2243.1,0.7663860179502006,1.231028306210668,0.45843638649600527,0.45716982410283413,1.578715023672404
27,minmax_scaler,1000,manhattan,80713,10,1928.8,0.8186787275380737,1.2219070545581436,0.46539072779091534,0.4623720650864119,1.6370715801447002
28,robust_scaler,50,euclidean,71370,225,127.24888888888889,0.6342190882739314,1.326402640731868,0.3453605935860392,0.40839675932944347,1.3881379733028627
29,robust_scaler,50,manhattan,70558,219,134.44292237442923,0.6622168987946209,1.38298186301365,0.35845513857042605,0.42397243350129116,1.3852921803611515
30,robust_scaler,100,euclidean,74089,102,254.0392156862745,0.6308364920066841,1.3141208876773705,0.3816186205389698,0.4073834972940609,1.391801491023966
31,robust_scaler,100,manhattan,74805,106,237.69811320754718,0.6899919969113752,1.321737478163273,0.3957441654014984,0.42650384086394044,1.4465718900605282
32,robust_scaler,200,euclidean,80522,44,442.70454545454544,0.6928173405080847,1.2800633494117475,0.49283816117888474,0.4336118713538824,1.4740286770091646
33,robust_scaler,200,manhattan,79609,44,463.45454545454544,0.6788625810044239,1.195033068553088,0.4912298775779688,0.4325949219028746,1.515659508482566
34,robust_scaler,300,euclidean,83702,24,679.125,0.7096059127936908,1.2094374640470216,0.5985570686623043,0.4576442424833181,1.5364365921194314
35,robust_scaler,300,manhattan,78782,26,816.1153846153846,0.6656860085815712,1.2820819430030865,0.6259579622342634,0.4723683424932379,1.4456673549046062
36,robust_scaler,400,euclidean,86852,16,821.8125,0.755426782758671,1.1386059871264236,0.5007666944188117,0.4294535171985044,1.6336937261143505
37,robust_scaler,400,manhattan,85120,17,875.3529411764706,0.7200659868682909,1.2114329313939105,0.5075735508764418,0.4278152660893722,1.5455347140964424
38,robust_scaler,600,euclidean,87376,13,971.1538461538462,0.7298147694633635,1.351804632362132,0.4520211689919961,0.40505027654165787,1.4695666360127544
39,robust_scaler,600,manhattan,88619,11,1034.7272727272727,0.7279906706469808,1.300767667521902,0.4216288185117619,0.3904133914721756,1.4967674668177406
40,robust_scaler,1000,euclidean,84515,6,2581.0,0.5801696392881053,1.1740472243899926,0.3219324404909406,0.3325740044999081,1.4319241336778659
