,transform_function,metric,min_cluster_size,n_outliers,n_clusters,mean_cluster_size,avg_silhouette,davies_bouldin_score,scores_v1,scores_v3,CCPM
29,robust_scaler,manhattan,50,31866,208,327.57211538461536,0.4517103419757191,1.523006066998955,0.4193511761812844,0.5338557300743548,1.1083065444914941
30,robust_scaler,euclidean,100,40275,104,574.2884615384615,0.49496255678071976,1.4908411866444438,0.44740552808014833,0.5216120364421506,1.165724814329279
31,robust_scaler,manhattan,100,38875,119,513.6638655462185,0.48363747839845467,1.4873893324790874,0.43779292027252104,0.5209306745857429,1.1559564053691507
32,robust_scaler,euclidean,200,42517,47,1223.063829787234,0.4994080775524403,1.5153083109210412,0.5424779395238752,0.5424995057858881,1.1593397843825677
33,robust_scaler,manhattan,200,48389,67,770.3283582089553,0.5888194197640145,1.5357995409499996,0.49766465336938775,0.5323911574806652,1.2399460631418542
34,robust_scaler,euclidean,300,41176,35,1680.7142857142858,0.4713800444640793,1.622991159806752,0.6008271016266822,0.5569597908507582,1.0875263456670194
35,robust_scaler,manhattan,300,45447,33,1653.1515151515152,0.5390094232042159,1.6266496207403016,0.6241409185791857,0.5671589203968419,1.1537699636732148
36,robust_scaler,euclidean,400,45563,29,1877.1724137931035,0.4905658269530641,1.6477924403186086,0.6438307024484775,0.5580687813222376,1.097438376876066
37,robust_scaler,manhattan,400,51140,26,1879.2692307692307,0.5832006810143913,1.6692440698720605,0.6906019316544172,0.5775828293801868,1.1822742485344755
38,robust_scaler,euclidean,600,48894,15,3407.133333333333,0.40082453243116123,1.680859225209876,0.49627083290178153,0.4735545653403255,0.9957583525880145
39,robust_scaler,manhattan,600,54519,17,2675.4117647058824,0.5686934913084889,1.7064195141819467,0.559118365666708,0.5202697378307517,1.1547158566700322
40,robust_scaler,euclidean,1000,56212,12,3649.0833333333335,0.4539542806054718,1.6406447841613396,0.4511261210959073,0.44667836896792923,1.0634707400206507
41,robust_scaler,manhattan,1000,57575,10,4242.6,0.5191113074439584,1.7340603551875569,0.44266081650058947,0.45823394016033464,1.0957925036943852
42,yeo-johnson,euclidean,50,18059,207,395.8550724637681,0.3358962096913878,1.2093758065482914,0.42697062676920944,0.5566247732909556,1.1627690432518043
43,yeo-johnson,manhattan,50,19972,217,368.7972350230415,0.42751817240169215,1.1853878632078556,0.4492052792614951,0.5831298343709674,1.2711239077378331
44,yeo-johnson,euclidean,100,22898,119,647.9243697478992,0.35830017271834036,1.2398014175118375,0.4492699524844752,0.5506799534716855,1.1648809572498697
45,yeo-johnson,manhattan,100,24549,125,603.616,0.4383796433321709,1.1953390422799741,0.466964032735874,0.573408084770594,1.2749623739460836
46,yeo-johnson,euclidean,200,23097,49,1569.469387755102,0.3725312846952317,1.3684386211529804,0.5573919464233646,0.5865898932063403,1.1032911335786608
47,yeo-johnson,manhattan,200,28135,53,1355.9622641509434,0.46681293662248435,1.339818038586307,0.5586772626100662,0.5951081851585113,1.2131829444894766
48,yeo-johnson,euclidean,300,24603,26,2899.923076923077,0.3993821582528378,1.482217427300865,0.717784872842745,0.6367390934388337,1.0740470094285601
49,yeo-johnson,manhattan,300,27499,23,3152.2608695652175,0.4598317326167608,1.514991269505539,0.6898199557015487,0.6349006064444934,1.119901543003443
50,yeo-johnson,euclidean,400,27073,20,3646.4,0.40601835871599523,1.5548593854131634,0.6348406117398973,0.6039667740459387,1.0491633333557928
51,yeo-johnson,manhattan,400,29312,20,3534.45,0.46232144331129316,1.5476227833895475,0.6461450479042502,0.6152931198329383,1.1084737297294578
52,yeo-johnson,euclidean,600,27056,14,5210.357142857143,0.3923970601169535,1.589148054436986,0.5534337680504787,0.5755263306794074,1.0216650488408152
53,yeo-johnson,manhattan,600,33268,15,4448.866666666667,0.4651722415935517,1.5985533043407387,0.5698062150944536,0.5774228677130946,1.0907378685167097
54,yeo-johnson,euclidean,1000,29687,12,5859.5,0.3685385218595322,1.6770384410327313,0.511069984022769,0.5451357392328157,0.9648277753033551
55,yeo-johnson,manhattan,1000,35549,11,5859.272727272727,0.47661610368894947,1.637981863450526,0.514735527210108,0.5552109112154978,1.0871234739558147
